Chapter,Question,Option A,Option B,Option C,Option D,Correct Answer
1,ప్రమాణం అంటే ఏమిటి?,నిరూపణ,జ్ఞాన విషయం,జ్ఞానమిచ్చేది,కొలత,C
1,ప్రమాణం యొక్క లక్షణం ఏమిటి?,విషయాన్ని తెలియజేయడం,విషయాన్ని కనిపించడం,ప్రమాణం తొలగించడం,ప్రమాణం కలిగించడం,D
1,ప్రమ అంటే ఏమిటి?,యథావస్థిత జ్ఞానం,వ్యవహార అనుగుణ జ్ఞానం,పైన చెప్పిన రెండు,పైన చెప్పిన మూడు కాదు,C
1,సంశయం అంటే ఏమిటి?,ధర్మిని తెలుసుకోవడం,ధర్మిపై విరుద్ధ భావనలు కలగడం,ధర్మి వేరేది ఏదో ఉందని తెలియడం,ఇవేవీ కావు,B
1,అన్యథా జ్ఞానం అంటే ఏమిటి?,ధర్మిపై విరుద్ధ భావనలు కలగడం,ధర్మిలో ఉన్న ధర్మమే లేనట్లు అనిపించడం,ధర్మియే వేరే వస్తువు అయి కూర్చోవడం,ధర్మియే ధర్మం అని తెలియడం,B
1,విపరీత జ్ఞానం అంటే ఏమిటి?,విషయాన్ని విపరీతమని భావించడం,ఒక వస్తువుని చూసి వేరే వస్తువు అని భావించడం,వస్తువులు ఒకదానితో ఒకటి కలిసిపోయాయని భావించడం,మనసులో గందరగోళం ఏర్పడడం,B
1,కరణ పదార్థం అంటే ఏమిటి?,బాగా పనిచేసే కారణం అయిన పనిముట్టు,మన లెక్కలు రాసే అతీత శక్తి,పనిచేయగలిగిన అవయవాలు,ఇవేవీ కావు,A
1,ప్రమాణాలు ఎన్ని?,2,3,4,5,B
1,నిర్వికల్పకము అంటే ఏమిటి?,చూసినా కనబడనిది,చూసినా తెలియనిది,చూస్తున్నంత సేపు చూడాలనిపించేది,మొదటిసారి చూసినప్పుడు అర్థమయ్యే విషయం,D
1,సవికల్పకం అంటే ఏమిటి?,మళ్లీ మళ్లీ చూడడం వల్ల వచ్చే జ్ఞానం,వికల్పములు గల వస్తువు,కల్పములో ముందు పుట్టిన వస్తువు,ఇవేవీ కావు,A
1,ప్రత్యక్షంలో విషయాలతో కలవాల్సినది ఏమిటి?,ఆత్మ,మనసు,ఇంద్రియాలు,పైవన్నీ,D
1,అనర్వాచీనం అయిన జ్ఞానంలో అవసరం లేనిది ఏమిటి?,వస్తువు,వ్యక్తి,ఇంద్రియాలు,పైవన్నీ,C
1,స్మృతి అనేది దేనిలో అంతర్భాగము?,ప్రత్యక్షము,అనుమానము,వేదజ్ఞానము,ఊహ,A
1,ప్రత్యభిజ్ఞ అంటే ఏమిటి?,చూసిన వ్యక్తిని మళ్లీ గుర్తించడం,చూడని వ్యక్తిని కూడా గుర్తుపట్టగలగడం,తెలిసిన వ్యక్తిని తెలియదని చెప్పడం,మనలో కలిగిన భ్రమ,A
1,గదిలో గజం లేదు అంటే అది......,మన ఊహ కి ఉదాహరణ,అభావానికి ఉదాహరణ,సంశయానికి ఉదాహరణ,విపరీత జ్ఞానానికి ఉదాహరణ,B
1,సత్ఖ్యాతి అంటే ఏమిటి?,మనకి కనబడేదంతా సత్యమే,మనకి కనబడని కూడా సత్యమే,పైవి రెండూ సత్యం కావు,A మరియు B రెండు సత్యమే,A
1,ఈ క్రింది వాటిలో సత్యమని చెప్పగలిగింది ఏది?,స్వప్నము,ఎండమావి,పైన చెప్పిన రెండు,పైన చెప్పిన వేవి కావు,C
1,ఈ క్రింది వాటిలో అసత్యమని చెప్పగలిగినది ఏది?,స్పటికంలో ప్రతిబింబించిన ఎర్రటి రంగు,పచ్చకామెర్ల వాడికి లోకం పచ్చగా లేదని తెలియడం,దిగ్భ్రమ,అలాత చక్రం,B
1,ప్రతిబింబం కనబడడం ....,సత్యము,సత్యము కాదు,భ్రమ,భగవంతుని సృష్టి,A
1,ప్రతి యోగి అంటే ఏమిటి?,భేదం చెప్పడానికి కావలసిన వస్తువు,కాలం కలిసి వచ్చిన సిద్ధయోగి,దివ్యజ్ఞానము కలిగిన యోగి,యోగిని ఎదుర్కొనే మరొక యోగి,A
